"family","species","Phoenix, AZ","Tucson, AZ","Palm Desert, CA","Albuquerque, NM","El Paso, TX"
"Hesperiidae","Amblyscirtes nysa",NA,1,NA,NA,1
"Hesperiidae","Ancyloxypha arene",NA,1,NA,3,4
"Hesperiidae","Atalopedes campestris",NA,1,NA,NA,2
"Hesperiidae","Atrytonopsis vierecki",NA,NA,NA,NA,1
"Hesperiidae","Chiomara georgina",NA,1,NA,NA,NA
"Hesperiidae","Copaeodes aurantiaca",NA,17,1,1,NA
"Hesperiidae","Epargyreus clarus",NA,NA,NA,1,NA
"Hesperiidae","Erynnis brizo",NA,NA,NA,2,2
"Hesperiidae","Erynnis funeralis",10,12,11,5,8
"Hesperiidae","Erynnis juvenalis",NA,1,NA,NA,NA
"Hesperiidae","Erynnis telemachus",NA,NA,NA,1,NA
"Hesperiidae","Erynnis tristis",2,2,NA,NA,2
"Hesperiidae","Heliopetes ericetorum",5,NA,1,NA,NA
"Hesperiidae","Heliopyrgus domicella",2,NA,NA,NA,NA
"Hesperiidae","Hesperia pahaska",NA,NA,NA,2,NA
"Hesperiidae","Hylephila phyleus",91,106,25,34,23
"Hesperiidae","Lerodea arabus",NA,4,NA,NA,NA
"Hesperiidae","Lerodea eufala",7,28,NA,NA,12
"Hesperiidae","Pholisora catullus",1,6,NA,NA,2
"Hesperiidae","Poanes taxiles",NA,NA,NA,1,NA
"Hesperiidae","Pyrgus communis",NA,NA,NA,3,NA
"Hesperiidae","Pyrgus oileus",NA,1,NA,NA,NA
"Hesperiidae","Pyrgus scriptura",NA,8,NA,NA,NA
"Hesperiidae","Staphylus ceos",NA,5,NA,NA,NA
"Hesperiidae","Systasea zampa",8,11,NA,NA,1
"Hesperiidae","Zestusa dorus",NA,NA,NA,1,NA
"Lycaenidae","Apodemia mormo",NA,NA,5,1,5
"Lycaenidae","Apodemia palmerii",NA,7,NA,NA,NA
"Lycaenidae","Atlides halesus",10,14,NA,4,3
"Lycaenidae","Brephidium exilis",61,103,19,53,84
"Lycaenidae","Calephelis nemesis",3,31,NA,NA,NA
"Lycaenidae","Calephelis wrighti",NA,NA,9,NA,NA
"Lycaenidae","Callicista columella",2,1,NA,NA,NA
"Lycaenidae","Callophrys spinetorum",NA,NA,NA,1,NA
"Lycaenidae","Celastrina ladon",2,3,NA,2,NA
"Lycaenidae","Echinargus isola",20,16,3,18,5
"Lycaenidae","Euphilotes bernardino",NA,NA,1,NA,NA
"Lycaenidae","Hemiargus ceraunus",41,41,35,2,11
"Lycaenidae","Icaricia lupini",NA,4,NA,4,NA
"Lycaenidae","Leptotes marina",43,91,30,33,59
"Lycaenidae","Ministrymon leda",4,36,NA,NA,1
"Lycaenidae","Mitoura gryneus",1,1,NA,1,NA
"Lycaenidae","Mitoura siva",NA,6,NA,NA,NA
"Lycaenidae","Sandia mcfarlandi",NA,NA,NA,39,NA
"Lycaenidae","Strymon melinus",57,82,23,22,29
"Nymphalidae","Agraulis vanillae",NA,6,NA,NA,NA
"Nymphalidae","Anaea aidea",NA,NA,NA,NA,3
"Nymphalidae","Anaea andria",NA,NA,NA,1,NA
"Nymphalidae","Anthanassa texana",6,61,NA,2,17
"Nymphalidae","Asterocampa celtis",NA,23,NA,NA,NA
"Nymphalidae","Asterocampa leilia",28,60,NA,NA,NA
"Nymphalidae","Cercyonis pegala",NA,NA,NA,1,NA
"Nymphalidae","Chlosyne californica",12,1,1,NA,NA
"Nymphalidae","Chlosyne lacinia",2,5,NA,5,10
"Nymphalidae","Cyllopsis pertepida",NA,NA,NA,1,NA
"Nymphalidae","Cynthia annabella",27,32,NA,5,11
"Nymphalidae","Danaus gilippus",353,289,67,13,182
"Nymphalidae","Danaus plexippus",81,120,32,28,30
"Nymphalidae","Dryas iulia",NA,NA,NA,1,NA
"Nymphalidae","Dymasia dymas",2,14,9,NA,NA
"Nymphalidae","Eresia aveyrana",NA,NA,NA,3,NA
"Nymphalidae","Euptoieta claudia",18,17,NA,37,19
"Nymphalidae","Gyrocheilus patrobas",NA,1,NA,NA,NA
"Nymphalidae","Heliconius charithonia",1,NA,NA,NA,NA
"Nymphalidae","Junonia coenia",NA,NA,NA,1,NA
"Nymphalidae","Junonia genoveva",NA,NA,NA,1,NA
"Nymphalidae","Junonia nigrosuffusa",NA,4,NA,1,2
"Nymphalidae","Libytheana carinenta",149,111,6,19,17
"Nymphalidae","Limenitis archippus",2,1,NA,2,NA
"Nymphalidae","Limenitis arthemis",1,2,NA,NA,NA
"Nymphalidae","Limenitis bredowii",NA,2,NA,8,1
"Nymphalidae","Limenitis weidemeyerii",NA,NA,NA,1,NA
"Nymphalidae","Marpesia petreus",NA,1,NA,NA,NA
"Nymphalidae","Microtia elva",NA,2,NA,NA,NA
"Nymphalidae","Nymphalis antiopa",3,11,NA,36,3
"Nymphalidae","Occidryas chalcedona",NA,NA,2,NA,NA
"Nymphalidae","Oeneis polixenes",NA,4,NA,NA,1
"Nymphalidae","Phyciodes picta",NA,NA,NA,NA,2
"Nymphalidae","Phyciodes tharos",NA,NA,NA,14,2
"Nymphalidae","Poladryas minuta",NA,1,NA,NA,NA
"Nymphalidae","Polygonia interrogationis",NA,1,NA,5,5
"Nymphalidae","Siproeta stelenes",NA,NA,NA,NA,1
"Nymphalidae","Texola perse",NA,4,NA,NA,NA
"Nymphalidae","Thessalia leanira",NA,NA,NA,2,NA
"Nymphalidae","Thessalia theona",NA,NA,NA,NA,2
"Nymphalidae","Vanessa atalanta",29,11,NA,7,12
"Nymphalidae","Vanessa cardui",157,197,87,88,54
"Nymphalidae","Vanessa virginiensis",4,6,NA,2,3
"Papilionidae","Battus philenor",26,81,NA,1,17
"Papilionidae","Papilio multicaudata",NA,4,NA,117,105
"Papilionidae","Papilio polibetes",4,15,NA,22,29
"Papilionidae","Papilio rumiko",32,135,4,NA,35
"Papilionidae","Papilio rutulus",NA,NA,NA,4,NA
"Papilionidae","Papilio zelicaon",NA,1,NA,NA,NA
"Pieridae","Abaeis nicippe",187,96,1,12,56
"Pieridae","Anthocharis cethura",1,2,1,NA,1
"Pieridae","Anthocharis sara",1,NA,4,NA,NA
"Pieridae","Anthocharis thoosa",NA,1,NA,2,2
"Pieridae","Ascia monuste",1,10,NA,NA,2
"Pieridae","Colias eurytheme",12,13,NA,14,8
"Pieridae","Colias philodice",NA,1,NA,9,NA
"Pieridae","Euchloe lotta",NA,1,NA,NA,NA
