"family","species","Desert Botanical Garden","Tohono Chul","Tucson Botanical Gardens","Living Desert","ABQ BioPark Botanic Garden","Chihuahuan Desert Gardens"
"Hesperiidae","Chiomara georgina",NA,4,NA,NA,NA,NA
"Hesperiidae","Cogia hippalus",NA,3,NA,NA,NA,NA
"Hesperiidae","Copaeodes aurantiaca",NA,5,1,NA,NA,NA
"Hesperiidae","Erynnis funeralis",1,37,NA,NA,NA,2
"Hesperiidae","Erynnis tristis",NA,11,NA,NA,NA,NA
"Hesperiidae","Heliopyrgus domicella",NA,1,NA,NA,NA,NA
"Hesperiidae","Hylephila phyleus",2,52,5,1,1,2
"Hesperiidae","Lerodea eufala",NA,18,NA,NA,NA,1
"Hesperiidae","Pholisora catullus",NA,4,NA,NA,NA,NA
"Hesperiidae","Pyrgus communis",NA,14,NA,NA,NA,NA
"Hesperiidae","Systasea zampa",1,23,1,NA,NA,NA
"Hesperiidae","Urbanus dorantes",NA,2,NA,NA,NA,NA
"Lycaenidae","Apodemia palmerii",NA,19,NA,NA,NA,NA
"Lycaenidae","Atlides halesus",NA,25,NA,NA,NA,NA
"Lycaenidae","Brephidium exilis",2,5,NA,NA,NA,7
"Lycaenidae","Calephelis arizonensis",NA,2,NA,NA,NA,NA
"Lycaenidae","Calephelis nemesis",1,107,2,NA,NA,NA
"Lycaenidae","Callicista columella",NA,1,NA,NA,NA,NA
"Lycaenidae","Celastrina ladon",NA,30,NA,NA,NA,NA
"Lycaenidae","Chlorostrymon simaethis",NA,3,NA,NA,NA,NA
"Lycaenidae","Echinargus isola",3,31,NA,NA,NA,1
"Lycaenidae","Hemiargus ceraunus",13,60,4,NA,NA,3
"Lycaenidae","Leptotes marina",7,300,8,4,1,7
"Lycaenidae","Ministrymon leda",2,16,1,NA,NA,NA
"Lycaenidae","Mitoura siva",NA,NA,1,NA,NA,NA
"Lycaenidae","Strymon melinus",10,74,5,1,2,2
"Nymphalidae","Agraulis vanillae",NA,295,NA,NA,NA,NA
"Nymphalidae","Anthanassa texana",4,263,19,NA,1,1
"Nymphalidae","Asterocampa celtis",NA,2,1,NA,NA,NA
"Nymphalidae","Asterocampa leilia",6,175,5,NA,NA,NA
"Nymphalidae","Chlosyne lacinia",NA,12,NA,NA,NA,NA
"Nymphalidae","Cynthia annabella",2,2,1,1,NA,1
"Nymphalidae","Danaus gilippus",152,376,27,24,1,42
"Nymphalidae","Danaus plexippus",23,261,20,15,3,1
"Nymphalidae","Dymasia dymas",NA,40,1,NA,NA,NA
"Nymphalidae","Eresia aveyrana",NA,NA,NA,NA,1,NA
"Nymphalidae","Euptoieta claudia",NA,6,1,NA,2,NA
"Nymphalidae","Heliconius charithonia",1,1,NA,NA,NA,NA
"Nymphalidae","Junonia coenia",NA,5,NA,NA,NA,NA
"Nymphalidae","Junonia genoveva",NA,1,NA,NA,NA,NA
"Nymphalidae","Libytheana carinenta",9,165,2,NA,NA,5
"Nymphalidae","Limenitis arthemis",1,NA,NA,NA,NA,NA
"Nymphalidae","Limenitis bredowii",NA,1,NA,NA,NA,NA
"Nymphalidae","Nymphalis antiopa",NA,1,NA,NA,3,NA
"Nymphalidae","Oeneis polixenes",NA,1,NA,NA,NA,NA
"Nymphalidae","Phyciodes tharos",NA,NA,NA,NA,2,NA
"Nymphalidae","Polygonia interrogationis",NA,NA,NA,NA,3,NA
"Nymphalidae","Texola elada",NA,20,NA,NA,NA,NA
"Nymphalidae","Thessalia leanira",NA,1,NA,NA,NA,NA
"Nymphalidae","Vanessa atalanta",2,5,NA,NA,1,NA
"Nymphalidae","Vanessa cardui",15,83,8,2,3,NA
"Nymphalidae","Vanessa virginiensis",NA,4,NA,NA,NA,NA
"Papilionidae","Battus philenor",11,310,1,NA,NA,5
"Papilionidae","Papilio astyalus",NA,1,NA,NA,NA,NA
"Papilionidae","Papilio multicaudata",NA,1,NA,NA,4,8
"Papilionidae","Papilio polibetes",NA,2,1,NA,4,1
"Papilionidae","Papilio rumiko",2,160,11,NA,NA,3
"Pieridae","Abaeis nicippe",11,238,NA,NA,1,7
"Pieridae","Anthocharis cethura",NA,1,NA,NA,NA,NA
"Pieridae","Anthocharis sara",NA,1,NA,NA,NA,NA
"Pieridae","Ascia monuste",1,1,NA,NA,NA,NA
"Pieridae","Colias eurytheme",1,18,NA,NA,1,NA
"Pieridae","Eurema boisduvaliana",NA,6,NA,NA,NA,NA
"Pieridae","Eurema mexicana",NA,168,NA,NA,NA,NA
"Pieridae","Kricogonia lyside",2,8,NA,NA,NA,NA
"Pieridae","Nathalis iole",6,206,NA,2,NA,1
"Pieridae","Phoebis agarithe",NA,50,NA,1,NA,NA
"Pieridae","Phoebis sennae",1,237,1,NA,NA,3
"Pieridae","Pieris rapae",NA,1,3,NA,2,NA
"Pieridae","Pontia protodice",3,74,1,NA,4,3
"Pieridae","Pyrisitia nise",NA,NA,1,NA,NA,NA
"Pieridae","Pyrisitia proterpia",NA,22,NA,NA,NA,NA
"Pieridae","Zerene cesonia",1,167,1,NA,NA,NA
