"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
32.726658,-117.142442,NA,"Hesperiidae","Hylephila phyleus",2022,3,7,"iNaturalist research-grade observations","3712639286",NA
32.731683,-117.146908,NA,"Hesperiidae","Hylephila phyleus",2022,4,24,"iNaturalist research-grade observations","3764135826","Adult"
32.731683,-117.146908,NA,"Hesperiidae","Hylephila phyleus",2022,4,24,"iNaturalist research-grade observations","3764222831",NA
32.732058,-117.146675,NA,"Hesperiidae","Hylephila phyleus",2022,5,14,"iNaturalist research-grade observations","3784772703",NA
32.732042,-117.146661,NA,"Hesperiidae","Hylephila phyleus",2022,5,14,"iNaturalist research-grade observations","3784773901",NA
32.736095,-117.156586,NA,"Hesperiidae","Hylephila phyleus",2021,4,6,"iNaturalist research-grade observations","3307299443",NA
32.735275,-117.153984,NA,"Hesperiidae","Hylephila phyleus",2021,10,12,"iNaturalist research-grade observations","3391686114",NA
32.729406,-117.152361,NA,"Hesperiidae","Hylephila phyleus",2021,10,19,"iNaturalist research-grade observations","3398866656",NA
32.729033,-117.152309,NA,"Hesperiidae",NA,2021,10,19,"iNaturalist research-grade observations","3399309613",NA
32.721049,-117.151085,NA,"Hesperiidae",NA,2020,3,28,"iNaturalist research-grade observations","2596388595",NA
32.732429,-117.151664,NA,"Hesperiidae","Hylephila phyleus",2020,7,27,"iNaturalist research-grade observations","2826301347","Adult"
32.734258,-117.144553,NA,"Hesperiidae",NA,2020,7,13,"iNaturalist research-grade observations","2882966425",NA
32.730625,-117.154579,NA,"Hesperiidae","Ochlodes sylvanoides",2020,7,29,"iNaturalist research-grade observations","3113556380","Adult"
32.732632,-117.147729,NA,"Hesperiidae","Hylephila phyleus",2020,10,6,"iNaturalist research-grade observations","3113573388",NA
32.727974,-117.150504,NA,"Hesperiidae","Hylephila phyleus",2019,2,16,"iNaturalist research-grade observations","2460151341",NA
32.737019,-117.142978,NA,"Hesperiidae","Hylephila phyleus",2019,4,11,"iNaturalist research-grade observations","2236842290",NA
32.73195,-117.146477,NA,"Hesperiidae","Hylephila phyleus",2019,4,26,"iNaturalist research-grade observations","2311276184",NA
32.731941,-117.14559,NA,"Hesperiidae","Hylephila phyleus",2019,4,26,"iNaturalist research-grade observations","2311276189",NA
32.731968,-117.146452,NA,"Hesperiidae","Lerodea eufala",2019,4,26,"iNaturalist research-grade observations","2447828233",NA
32.731808,-117.146514,NA,"Hesperiidae","Hylephila phyleus",2019,6,22,"iNaturalist research-grade observations","2422851845",NA
32.731357,-117.147708,NA,"Hesperiidae",NA,2019,7,9,"iNaturalist research-grade observations","2283249022",NA
32.739173,-117.157371,NA,"Hesperiidae",NA,2019,7,27,"iNaturalist research-grade observations","2883011331",NA
32.738141,-117.15312,NA,"Hesperiidae",NA,2019,8,13,"iNaturalist research-grade observations","2350415797",NA
32.731256,-117.157264,NA,"Hesperiidae","Hylephila phyleus",2019,8,30,"iNaturalist research-grade observations","2422889976",NA
32.731029,-117.147849,NA,"Hesperiidae",NA,2018,4,27,"iNaturalist research-grade observations","1841209738",NA
32.732655,-117.145802,NA,"Hesperiidae","Hylephila phyleus",2018,4,27,"iNaturalist research-grade observations","1841217018","Adult"
32.73247,-117.147111,NA,"Hesperiidae","Hylephila phyleus",2018,6,27,"iNaturalist research-grade observations","1880585677",NA
32.732388,-117.147102,NA,"Hesperiidae","Hylephila phyleus",2018,7,26,"iNaturalist research-grade observations","1899754363",NA
32.735432,-117.148832,NA,"Hesperiidae","Hylephila phyleus",2018,9,25,"iNaturalist research-grade observations","1914234739",NA
32.735316,-117.149046,NA,"Hesperiidae","Hylephila phyleus",2018,10,16,"iNaturalist research-grade observations","1948745360",NA
32.731322,-117.150485,NA,"Hesperiidae","Hylephila phyleus",2018,11,5,"iNaturalist research-grade observations","1935612930",NA
32.731433,-117.157258,NA,"Hesperiidae","Hylephila phyleus",2017,8,19,"iNaturalist research-grade observations","1621783660",NA
32.72852,-117.147347,NA,"Hesperiidae","Hylephila phyleus",2017,9,10,"iNaturalist research-grade observations","1640118360",NA
32.731992,-117.146675,NA,"Hesperiidae","Hylephila phyleus",2017,9,16,"iNaturalist research-grade observations","1699371118",NA
32.731412,-117.150405,NA,"Hesperiidae",NA,2016,7,2,"iNaturalist research-grade observations","2626140313",NA
32.730235,-117.146605,NA,"Hesperiidae","Hylephila phyleus",2016,8,30,"iNaturalist research-grade observations","1306579882","Adult"
32.730235,-117.146605,NA,"Hesperiidae","Ochlodes sylvanoides",2016,8,30,"iNaturalist research-grade observations","1306579893","Adult"
32.730235,-117.146605,NA,"Hesperiidae","Hylephila phyleus",2016,8,30,"iNaturalist research-grade observations","1306579912","Adult"
32.730235,-117.146605,NA,"Hesperiidae","Hylephila phyleus",2016,8,30,"iNaturalist research-grade observations","1306579956","Adult"
32.730235,-117.146605,NA,"Hesperiidae","Hylephila phyleus",2016,8,30,"iNaturalist research-grade observations","1306591052","Adult"
32.730235,-117.146605,NA,"Hesperiidae","Hylephila phyleus",2016,8,30,"iNaturalist research-grade observations","1306591102","Adult"
32.730235,-117.146605,NA,"Hesperiidae","Lerodea eufala",2016,8,30,"iNaturalist research-grade observations","1315053248","Adult"
32.731429,-117.14918,1,"Hesperiidae","Ochlodes sylvanoides",2016,8,30,"eButterfly","3397437803",NA
32.731429,-117.14918,1,"Hesperiidae","Lerodea eufala",2016,8,30,"eButterfly","3397437804",NA
32.731429,-117.14918,20,"Hesperiidae","Hylephila phyleus",2016,8,30,"eButterfly","3397442748",NA
32.731429,-117.14918,1,"Hesperiidae","Erynnis tristis",2016,8,30,"eButterfly","3397592772",NA
32.730458,-117.14978,NA,"Hesperiidae","Hylephila phyleus",2016,10,21,"iNaturalist research-grade observations","1453160368",NA
32.731164,-117.147726,NA,"Hesperiidae","Hylephila phyleus",2014,9,22,"iNaturalist research-grade observations","1024231756",NA
32.735485,-117.153287,NA,"Hesperiidae","Hylephila phyleus",2014,10,12,"iNaturalist research-grade observations","3455667834",NA
32.735583,-117.145065,NA,"Hesperiidae",NA,2012,7,31,"iNaturalist research-grade observations","2235538696",NA
32.734525,-117.143242,NA,"Lycaenidae","Leptotes marina",2022,3,7,"iNaturalist research-grade observations","3712465911",NA
32.731655,-117.147644,NA,"Lycaenidae","Strymon melinus",2022,5,13,"iNaturalist research-grade observations","3784811517",NA
32.729687,-117.148217,NA,"Lycaenidae","Brephidium exilis",2022,5,14,"iNaturalist research-grade observations","3784988844",NA
32.726278,-117.142905,NA,"Lycaenidae","Strymon melinus",2021,7,2,"iNaturalist research-grade observations","3325782707",NA
32.729828,-117.149886,NA,"Lycaenidae","Leptotes marina",2021,8,7,"iNaturalist research-grade observations","3337392921",NA
32.730301,-117.146551,NA,"Lycaenidae","Brephidium exilis",2021,8,14,"iNaturalist research-grade observations","3343716702",NA
32.733241,-117.145601,NA,"Lycaenidae","Leptotes marina",2021,10,20,"iNaturalist research-grade observations","3398899577",NA
32.73075,-117.149553,NA,"Lycaenidae","Strymon melinus",2021,10,20,"iNaturalist research-grade observations","3399221603",NA
32.739197,-117.144386,NA,"Lycaenidae","Leptotes marina",2021,11,1,"iNaturalist research-grade observations","3408107080",NA
32.730162,-117.142892,NA,"Lycaenidae","Brephidium exilis",2021,12,3,"iNaturalist research-grade observations","3455981842",NA
32.734167,-117.148056,NA,"Lycaenidae","Strymon melinus",2020,7,9,"iNaturalist research-grade observations","2818696552",NA
32.72952,-117.147723,NA,"Lycaenidae","Leptotes marina",2020,10,7,"iNaturalist research-grade observations","2883215302",NA
32.730899,-117.146613,NA,"Lycaenidae","Leptotes marina",2020,10,6,"iNaturalist research-grade observations","2898476773",NA
32.737275,-117.142878,NA,"Lycaenidae","Apodemia mormo",2019,4,11,"iNaturalist research-grade observations","2236841447","Adult"
