"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
33.461092,-111.944439,NA,"Hesperiidae","Hylephila phyleus",2021,9,3,"iNaturalist research-grade observations","3355140850",NA
33.46177,-111.945678,NA,"Hesperiidae","Systasea zampa",2021,10,20,"iNaturalist research-grade observations","3398873615",NA
33.463,-111.944,NA,"Hesperiidae","Erynnis funeralis",2018,9,25,"iNaturalist research-grade observations","2236252350",NA
33.463,-111.944,NA,"Hesperiidae","Hylephila phyleus",2018,9,25,"iNaturalist research-grade observations","2236253286",NA
33.46185,-111.946163,NA,"Lycaenidae","Strymon melinus",2022,2,12,"iNaturalist research-grade observations","3705403484",NA
33.461587,-111.945968,NA,"Lycaenidae","Strymon melinus",2022,3,7,"iNaturalist research-grade observations","3712612796",NA
33.460603,-111.945183,NA,"Lycaenidae","Leptotes marina",2022,5,2,"iNaturalist research-grade observations","3772536919",NA
33.460095,-111.942422,NA,"Lycaenidae","Calephelis nemesis",2022,5,10,"iNaturalist research-grade observations","3772573233",NA
33.460378,-111.945253,NA,"Lycaenidae","Leptotes marina",2022,5,10,"iNaturalist research-grade observations","3772867260",NA
33.460247,-111.945236,NA,"Lycaenidae","Strymon melinus",2021,5,7,"iNaturalist research-grade observations","3113254816",NA
33.461617,-111.946067,NA,"Lycaenidae","Leptotes marina",2021,5,31,"iNaturalist research-grade observations","3301889911",NA
33.461825,-111.946455,NA,"Lycaenidae","Strymon melinus",2021,8,25,"iNaturalist research-grade observations","3344127822",NA
33.461136,-111.945134,NA,"Lycaenidae","Hemiargus ceraunus",2021,9,3,"iNaturalist research-grade observations","3355818847",NA
33.461703,-111.94625,NA,"Lycaenidae","Hemiargus ceraunus",2021,9,29,"iNaturalist research-grade observations","3384071730",NA
33.462137,-111.946128,NA,"Lycaenidae","Strymon melinus",2021,9,24,"iNaturalist research-grade observations","3384330174",NA
33.461747,-111.946256,NA,"Lycaenidae","Hemiargus ceraunus",2021,10,12,"iNaturalist research-grade observations","3391311174",NA
33.46225,-111.946305,NA,"Lycaenidae","Brephidium exilis",2021,10,10,"iNaturalist research-grade observations","3391339919",NA
33.460392,-111.945337,NA,"Lycaenidae","Hemiargus ceraunus",2021,10,10,"iNaturalist research-grade observations","3391490874",NA
33.461778,-111.946244,NA,"Lycaenidae","Echinargus isola",2021,10,30,"iNaturalist research-grade observations","3408219794",NA
33.46214,-111.946666,NA,"Lycaenidae","Echinargus isola",2021,10,30,"iNaturalist research-grade observations","3408234814",NA
33.460916,-111.943813,NA,"Lycaenidae","Ministrymon leda",2021,12,22,"iNaturalist research-grade observations","3455431319",NA
33.46179,-111.945937,NA,"Lycaenidae","Strymon melinus",2019,2,7,"iNaturalist research-grade observations","2005314961",NA
33.45985,-111.94203,NA,"Lycaenidae","Strymon melinus",2019,5,4,"iNaturalist research-grade observations","2242837634",NA
33.461345,-111.946617,NA,"Lycaenidae","Strymon melinus",2019,5,6,"iNaturalist research-grade observations","2242971536",NA
33.46175,-111.946388,NA,"Lycaenidae","Strymon melinus",2019,7,1,"iNaturalist research-grade observations","2294435116",NA
33.462,-111.9466,NA,"Lycaenidae","Hemiargus ceraunus",2019,7,1,"iNaturalist research-grade observations","2294435143",NA
33.46346,-111.944727,NA,"Lycaenidae","Hemiargus ceraunus",2019,11,3,"iNaturalist research-grade observations","2451740276",NA
33.460068,-111.945113,NA,"Lycaenidae","Leptotes marina",2019,11,11,"iNaturalist research-grade observations","2456564031",NA
33.4635,-111.9442,NA,"Lycaenidae","Hemiargus ceraunus",2019,12,11,"iNaturalist research-grade observations","2517994230",NA
33.4635,-111.9442,NA,"Lycaenidae","Leptotes marina",2019,12,11,"iNaturalist research-grade observations","2518028678",NA
33.461675,-111.946318,NA,"Lycaenidae","Leptotes marina",2018,5,28,"iNaturalist research-grade observations","1848766154",NA
33.462208,-111.944672,NA,"Lycaenidae","Hemiargus ceraunus",2018,9,30,"iNaturalist research-grade observations","1914336675",NA
33.463,-111.944,NA,"Lycaenidae","Brephidium exilis",2018,9,25,"iNaturalist research-grade observations","2236254051",NA
33.463,-111.944,NA,"Lycaenidae","Hemiargus ceraunus",2018,9,25,"iNaturalist research-grade observations","2236254162",NA
33.462154,-111.946539,NA,"Lycaenidae","Hemiargus ceraunus",2018,11,27,"iNaturalist research-grade observations","2234732621",NA
33.4618,-111.9462,NA,"Lycaenidae","Strymon melinus",2017,2,13,"iNaturalist research-grade observations","1453424002",NA
33.463041,-111.943445,NA,"Lycaenidae","Hemiargus ceraunus",2017,8,11,"iNaturalist research-grade observations","1640071306",NA
33.462338,-111.944198,NA,"Lycaenidae","Hemiargus ceraunus",2016,9,3,"iNaturalist research-grade observations","1323012488",NA
33.462041,-111.945041,NA,"Lycaenidae","Hemiargus ceraunus",2016,11,5,"iNaturalist research-grade observations","1453197757",NA
33.46346,-111.944727,NA,"Lycaenidae","Echinargus isola",2015,6,3,"iNaturalist research-grade observations","1986623410",NA
33.46346,-111.944727,NA,"Lycaenidae","Ministrymon leda",2015,6,3,"iNaturalist research-grade observations","1986623482",NA
33.46346,-111.944727,NA,"Lycaenidae","Leptotes marina",2015,6,3,"iNaturalist research-grade observations","1986623795",NA
33.461855,-111.946213,NA,"Nymphalidae","Danaus gilippus",2022,1,3,"iNaturalist research-grade observations","3455787397",NA
33.461798,-111.945775,NA,"Nymphalidae","Vanessa cardui",2022,1,7,"iNaturalist research-grade observations","3455958791",NA
33.461929,-111.945011,NA,"Nymphalidae","Danaus gilippus",2022,1,17,"iNaturalist research-grade observations","3456148233",NA
33.461841,-111.944635,NA,"Nymphalidae","Danaus gilippus",2022,1,3,"iNaturalist research-grade observations","3456811517","Adult"
33.460624,-111.945053,NA,"Nymphalidae","Danaus gilippus",2022,1,7,"iNaturalist research-grade observations","3456940840","Adult"
33.460312,-111.942262,NA,"Nymphalidae","Danaus plexippus",2022,1,11,"iNaturalist research-grade observations","3457147533",NA
33.460312,-111.942262,NA,"Nymphalidae","Danaus gilippus",2022,1,11,"iNaturalist research-grade observations","3457221537",NA
33.461841,-111.944635,NA,"Nymphalidae","Danaus gilippus",2022,1,26,"iNaturalist research-grade observations","3466131763",NA
33.461841,-111.944635,NA,"Nymphalidae","Danaus gilippus",2022,1,28,"iNaturalist research-grade observations","3466531422",NA
