"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetName","gbifID","lifeStage"
33.70124,-116.37216,"Hesperiidae","Hylephila phyleus",2017,5,31,"iNaturalist research-grade observations","1563447063",NA
33.699983,-116.374417,"Lycaenidae","Leptotes marina",2021,4,16,"iNaturalist research-grade observations","3109166510","Adult"
33.701303,-116.371607,"Lycaenidae","Leptotes marina",2019,4,10,"iNaturalist research-grade observations","2283008982",NA
33.70124,-116.37216,"Lycaenidae","Leptotes marina",2017,5,31,"iNaturalist research-grade observations","1563447494","Adult"
33.701175,-116.374123,"Lycaenidae","Strymon melinus",2016,8,17,"iNaturalist research-grade observations","1305144303",NA
33.700223,-116.374648,"Lycaenidae",NA,2016,8,18,"iNaturalist research-grade observations","1453103441",NA
33.700422,-116.374493,"Lycaenidae","Leptotes marina",2016,8,18,"iNaturalist research-grade observations","1455568126",NA
33.702006,-116.371755,"Nymphalidae","Danaus plexippus",2022,1,17,"iNaturalist research-grade observations","3698052652",NA
33.702009,-116.371757,"Nymphalidae","Danaus plexippus",2022,2,22,"iNaturalist research-grade observations","3698097258","Larva"
33.702555,-116.37322,"Nymphalidae","Danaus plexippus",2022,2,18,"iNaturalist research-grade observations","3698097929",NA
33.702025,-116.371768,"Nymphalidae","Danaus plexippus",2022,2,23,"iNaturalist research-grade observations","3698122138",NA
33.70247,-116.3732,"Nymphalidae","Danaus gilippus",2022,2,27,"iNaturalist research-grade observations","3705793814",NA
33.70202,-116.371739,"Nymphalidae","Danaus plexippus",2022,3,22,"iNaturalist research-grade observations","3759665936",NA
33.702032,-116.371755,"Nymphalidae","Danaus plexippus",2022,5,2,"iNaturalist research-grade observations","3773638537",NA
33.701655,-116.37375,"Nymphalidae","Danaus gilippus",2021,1,5,"iNaturalist research-grade observations","3031824202","Adult"
33.701737,-116.373445,"Nymphalidae","Danaus gilippus",2021,5,16,"iNaturalist research-grade observations","3118466335",NA
33.701853,-116.374055,"Nymphalidae","Danaus gilippus",2021,5,22,"iNaturalist research-grade observations","3124597969",NA
