"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
32.746952,-117.234804,NA,"Hesperiidae","Hylephila phyleus",2022,1,22,"iNaturalist research-grade observations","3466083033",NA
32.828933,-117.196792,NA,"Hesperiidae",NA,2022,1,23,"iNaturalist research-grade observations","3466527420",NA
32.746044,-117.235842,NA,"Hesperiidae",NA,2022,2,6,"iNaturalist research-grade observations","3468813754",NA
32.744795,-117.243613,NA,"Hesperiidae","Hylephila phyleus",2022,2,10,"iNaturalist research-grade observations","3499619583",NA
32.744795,-117.243613,NA,"Hesperiidae",NA,2022,2,9,"iNaturalist research-grade observations","3499624515",NA
32.749517,-117.228852,NA,"Hesperiidae","Hylephila phyleus",2022,2,17,"iNaturalist research-grade observations","3499630469",NA
32.71378,-117.143892,NA,"Hesperiidae","Erynnis funeralis",2022,2,19,"iNaturalist research-grade observations","3698080636",NA
32.869623,-117.253013,NA,"Hesperiidae","Erynnis funeralis",2022,2,20,"iNaturalist research-grade observations","3698282274",NA
32.780549,-117.242626,NA,"Hesperiidae","Erynnis funeralis",2022,2,18,"iNaturalist research-grade observations","3698303645",NA
32.749517,-117.228852,NA,"Hesperiidae","Hylephila phyleus",2022,2,18,"iNaturalist research-grade observations","3698315441",NA
32.749517,-117.228852,NA,"Hesperiidae","Hylephila phyleus",2022,2,18,"iNaturalist research-grade observations","3698316558",NA
32.58952,-117.112181,NA,"Hesperiidae","Erynnis funeralis",2022,2,18,"iNaturalist research-grade observations","3698417451",NA
32.848903,-117.069189,NA,"Hesperiidae","Erynnis funeralis",2022,2,27,"iNaturalist research-grade observations","3705532826",NA
32.842107,-117.069613,NA,"Hesperiidae","Erynnis funeralis",2022,2,27,"iNaturalist research-grade observations","3705727635",NA
32.761169,-117.233739,NA,"Hesperiidae","Erynnis funeralis",2022,2,18,"iNaturalist research-grade observations","3712618800",NA
32.548353,-117.083152,NA,"Hesperiidae",NA,2022,2,22,"iNaturalist research-grade observations","3759065887",NA
32.747959,-117.22946,NA,"Hesperiidae","Hylephila phyleus",2022,3,2,"iNaturalist research-grade observations","3705499250","Adult"
32.748915,-117.229626,NA,"Hesperiidae",NA,2022,3,2,"iNaturalist research-grade observations","3705533254","Adult"
32.748623,-117.229602,NA,"Hesperiidae","Hylephila phyleus",2022,3,2,"iNaturalist research-grade observations","3705806675","Adult"
32.848407,-117.073525,NA,"Hesperiidae","Erynnis funeralis",2022,3,3,"iNaturalist research-grade observations","3712506535",NA
32.771431,-117.103929,NA,"Hesperiidae","Erynnis funeralis",2022,3,1,"iNaturalist research-grade observations","3712578895",NA
32.81844,-117.075127,NA,"Hesperiidae","Hylephila phyleus",2022,3,10,"iNaturalist research-grade observations","3712631117",NA
32.726658,-117.142442,NA,"Hesperiidae","Hylephila phyleus",2022,3,7,"iNaturalist research-grade observations","3712639286",NA
32.96885,-117.225005,NA,"Hesperiidae",NA,2022,3,11,"iNaturalist research-grade observations","3743113629",NA
32.79951,-117.17673,NA,"Hesperiidae","Erynnis funeralis",2022,3,15,"iNaturalist research-grade observations","3743307055",NA
32.777379,-117.071439,NA,"Hesperiidae","Erynnis funeralis",2022,3,15,"iNaturalist research-grade observations","3743346678",NA
32.745357,-117.241794,NA,"Hesperiidae","Hylephila phyleus",2022,3,17,"iNaturalist research-grade observations","3746996011",NA
32.745357,-117.241794,NA,"Hesperiidae","Hylephila phyleus",2022,3,18,"iNaturalist research-grade observations","3747018097",NA
32.589518,-117.112564,NA,"Hesperiidae","Erynnis funeralis",2022,3,23,"iNaturalist research-grade observations","3747119310",NA
32.77715,-117.071289,NA,"Hesperiidae",NA,2022,3,24,"iNaturalist research-grade observations","3747129454",NA
32.842727,-117.038265,NA,"Hesperiidae","Erynnis funeralis",2022,3,19,"iNaturalist research-grade observations","3747195796",NA
32.860777,-117.054067,NA,"Hesperiidae",NA,2022,3,19,"iNaturalist research-grade observations","3747226637",NA
32.74303,-117.240121,NA,"Hesperiidae",NA,2022,3,20,"iNaturalist research-grade observations","3747296760",NA
32.750764,-117.229125,NA,"Hesperiidae","Hylephila phyleus",2022,3,19,"iNaturalist research-grade observations","3747344885",NA
32.750764,-117.229125,NA,"Hesperiidae","Hylephila phyleus",2022,3,19,"iNaturalist research-grade observations","3747346844",NA
32.750764,-117.229125,NA,"Hesperiidae",NA,2022,3,19,"iNaturalist research-grade observations","3747347895",NA
32.74674,-117.081644,NA,"Hesperiidae",NA,2022,3,23,"iNaturalist research-grade observations","3759186050","Adult"
33.059833,-117.100983,NA,"Hesperiidae","Erynnis funeralis",2022,3,30,"iNaturalist research-grade observations","3759231435",NA
33.077808,-116.986053,NA,"Hesperiidae","Hylephila phyleus",2022,3,29,"iNaturalist research-grade observations","3759310338",NA
32.720275,-117.125253,NA,"Hesperiidae","Erynnis funeralis",2022,3,29,"iNaturalist research-grade observations","3759719342",NA
32.573331,-117.012856,NA,"Hesperiidae","Erynnis funeralis",2022,3,26,"iNaturalist research-grade observations","3759882218",NA
32.744446,-117.240512,NA,"Hesperiidae","Hylephila phyleus",2022,4,5,"iNaturalist research-grade observations","3759240135",NA
