"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
32.339469,-110.98173,2,"Hesperiidae","Systasea zampa",2022,3,15,"eButterfly","3753819305",NA
32.339469,-110.981741,1,"Hesperiidae","Systasea zampa",2022,5,24,"eButterfly","3782964305",NA
32.339469,-110.981741,1,"Hesperiidae","Erynnis funeralis",2022,6,7,"eButterfly","3804764338",NA
32.339259,-110.98173,1,"Hesperiidae","Erynnis tristis",2021,5,11,"eButterfly","3427471771",NA
32.339259,-110.98173,1,"Hesperiidae","Hylephila phyleus",2021,5,25,"eButterfly","3427558803",NA
32.339796,-110.982342,1,"Hesperiidae","Hylephila phyleus",2021,6,9,"eButterfly","3427536842",NA
32.339941,-110.98217,1,"Hesperiidae","Systasea zampa",2021,7,28,"eButterfly","3427546421",NA
32.339941,-110.98217,1,"Hesperiidae","Systasea zampa",2021,8,3,"eButterfly","3427492571",NA
32.33944,-110.981591,NA,"Hesperiidae","Chiomara georgina",2021,9,28,"iNaturalist research-grade observations","3384364530",NA
32.339694,-110.982213,3,"Hesperiidae","Systasea zampa",2021,9,14,"eButterfly","3427561851",NA
32.339469,-110.98173,1,"Hesperiidae","Chiomara georgina",2021,9,28,"eButterfly","3427561895",NA
32.339694,-110.982213,2,"Hesperiidae","Erynnis funeralis",2021,9,14,"eButterfly","3427562840",NA
32.339469,-110.98173,3,"Hesperiidae","Erynnis funeralis",2021,9,28,"eButterfly","3427562882",NA
32.339469,-110.98173,1,"Hesperiidae","Systasea zampa",2021,9,28,"eButterfly","3427563859",NA
32.339469,-110.98173,1,"Hesperiidae","Hylephila phyleus",2021,9,28,"eButterfly","3427564847",NA
32.339694,-110.982213,1,"Hesperiidae","Hylephila phyleus",2021,9,14,"eButterfly","3427565808",NA
32.339469,-110.98173,2,"Hesperiidae","Lerodea eufala",2021,10,28,"eButterfly","3427482010",NA
32.339469,-110.98173,1,"Hesperiidae","Pholisora catullus",2021,10,28,"eButterfly","3427489996",NA
32.339469,-110.98173,1,"Hesperiidae","Hylephila phyleus",2021,10,28,"eButterfly","3427492035",NA
32.339469,-110.98173,1,"Hesperiidae","Erynnis funeralis",2021,10,28,"eButterfly","3427492988",NA
32.339469,-110.98173,1,"Hesperiidae","Chiomara georgina",2021,10,19,"eButterfly","3427496919",NA
32.339469,-110.98173,1,"Hesperiidae","Erynnis funeralis",2021,10,12,"eButterfly","3427548860",NA
32.339469,-110.98173,1,"Hesperiidae","Lerodea eufala",2021,10,12,"eButterfly","3427551857",NA
32.33944,-110.981591,NA,"Hesperiidae",NA,2021,11,9,"iNaturalist research-grade observations","3416244023",NA
32.339469,-110.98173,1,"Hesperiidae","Systasea zampa",2021,11,9,"eButterfly","3427482037",NA
32.339469,-110.98173,1,"Hesperiidae","Pyrgus communis",2021,11,9,"eButterfly","3427482976",NA
32.339469,-110.98173,1,"Hesperiidae","Lerodea eufala",2021,11,9,"eButterfly","3427486949",NA
32.339469,-110.98173,2,"Hesperiidae","Urbanus dorantes",2021,11,9,"eButterfly","3427492061",NA
32.339469,-110.98173,1,"Hesperiidae","Systasea zampa",2021,11,16,"eButterfly","3427493044",NA
32.339469,-110.98173,1,"Hesperiidae","Hylephila phyleus",2021,11,9,"eButterfly","3427494978",NA
32.339469,-110.98173,1,"Hesperiidae","Chiomara georgina",2021,11,23,"eButterfly","3427546956",NA
32.339469,-110.98173,1,"Hesperiidae","Systasea zampa",2021,11,23,"eButterfly","3427549936",NA
32.339506,-110.981827,1,"Hesperiidae","Lerodea eufala",2021,11,30,"eButterfly","3427553960",NA
32.339469,-110.98173,2,"Hesperiidae","Systasea zampa",2021,11,2,"eButterfly","3427562006",NA
32.339469,-110.98173,2,"Hesperiidae","Hylephila phyleus",2021,11,2,"eButterfly","3427562994",NA
32.339469,-110.98173,1,"Hesperiidae","Lerodea eufala",2021,11,2,"eButterfly","3427564958",NA
32.339288,-110.981741,1,"Hesperiidae","Hylephila phyleus",2020,3,21,"eButterfly","3427456348",NA
