"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
32.248442,-110.908646,NA,"Hesperiidae","Hylephila phyleus",2021,11,13,"iNaturalist research-grade observations","3705481886",NA
32.248523,-110.908785,NA,"Hesperiidae","Hylephila phyleus",2020,7,22,"iNaturalist research-grade observations","2826192240",NA
32.248251,-110.908311,NA,"Hesperiidae","Hylephila phyleus",2019,8,2,"iNaturalist research-grade observations","2331865207",NA
32.248251,-110.908311,NA,"Hesperiidae","Copaeodes aurantiaca",2019,8,2,"iNaturalist research-grade observations","2350324535",NA
32.248253,-110.908303,NA,"Hesperiidae","Hylephila phyleus",2019,11,8,"iNaturalist research-grade observations","2456530414",NA
32.248405,-110.908688,NA,"Hesperiidae","Hylephila phyleus",2019,12,1,"iNaturalist research-grade observations","2465272159",NA
32.248523,-110.908785,NA,"Hesperiidae","Systasea zampa",2018,10,7,"iNaturalist research-grade observations","3398957464",NA
32.248523,-110.908785,NA,"Lycaenidae","Leptotes marina",2022,5,11,"iNaturalist research-grade observations","3773025543",NA
32.248287,-110.90825,NA,"Lycaenidae","Leptotes marina",2021,3,31,"iNaturalist research-grade observations","3070389189",NA
32.248262,-110.908233,NA,"Lycaenidae","Strymon melinus",2021,3,31,"iNaturalist research-grade observations","3070674936",NA
32.248255,-110.90822,NA,"Lycaenidae","Strymon melinus",2021,3,31,"iNaturalist research-grade observations","3079671111",NA
32.248375,-110.909133,NA,"Lycaenidae","Leptotes marina",2021,3,31,"iNaturalist research-grade observations","3079842038",NA
32.248213,-110.908203,NA,"Lycaenidae","Leptotes marina",2021,5,28,"iNaturalist research-grade observations","3302231680",NA
32.248275,-110.908252,NA,"Lycaenidae","Leptotes marina",2021,5,23,"iNaturalist research-grade observations","3320950492",NA
32.248008,-110.90805,NA,"Lycaenidae","Hemiargus ceraunus",2021,8,13,"iNaturalist research-grade observations","3337772046",NA
32.248008,-110.908042,NA,"Lycaenidae","Hemiargus ceraunus",2021,8,13,"iNaturalist research-grade observations","3337963327",NA
32.248205,-110.908678,NA,"Lycaenidae","Strymon melinus",2020,2,10,"iNaturalist research-grade observations","2574241724","Adult"
32.24824,-110.908025,NA,"Lycaenidae","Calephelis nemesis",2020,12,9,"iNaturalist research-grade observations","3018068944",NA
32.248162,-110.908172,NA,"Lycaenidae","Calephelis nemesis",2020,12,9,"iNaturalist research-grade observations","3031813041",NA
32.248251,-110.908311,NA,"Lycaenidae","Leptotes marina",2019,8,2,"iNaturalist research-grade observations","2331866631",NA
32.248251,-110.908311,NA,"Lycaenidae","Strymon melinus",2019,8,2,"iNaturalist research-grade observations","2331866648",NA
32.248394,-110.909081,NA,"Lycaenidae","Strymon melinus",2019,8,21,"iNaturalist research-grade observations","2366141153",NA
32.248412,-110.908054,NA,"Lycaenidae","Hemiargus ceraunus",2019,8,21,"iNaturalist research-grade observations","2366142912",NA
32.248515,-110.907851,NA,"Lycaenidae","Hemiargus ceraunus",2019,8,4,"iNaturalist research-grade observations","2445014443",NA
32.248295,-110.908597,NA,"Lycaenidae","Ministrymon leda",2019,8,4,"iNaturalist research-grade observations","2445053435",NA
32.248405,-110.908688,NA,"Lycaenidae","Leptotes marina",2019,12,1,"iNaturalist research-grade observations","2465344643",NA
32.248523,-110.908785,NA,"Lycaenidae","Mitoura siva",2017,4,2,"iNaturalist research-grade observations","3455982346",NA
32.248363,-110.908317,NA,"Lycaenidae","Leptotes marina",2004,8,27,"iNaturalist research-grade observations","3772948150",NA
32.248028,-110.908294,NA,"Nymphalidae","Vanessa cardui",2022,2,27,"iNaturalist research-grade observations","3743057753",NA
32.247981,-110.908398,NA,"Nymphalidae","Anthanassa texana",2022,3,30,"iNaturalist research-grade observations","3760006417",NA
