"family","species","Tohono Chul","Desert Botanical Garden","ABQ BioPark Botanic Garden","Living Desert","Tucson Botanical Gardens","Chihuahuan Desert Gardens"
"Hesperiidae","Chiomara georgina",4,NA,NA,NA,NA,NA
"Hesperiidae","Cogia hippalus",3,NA,NA,NA,NA,NA
"Hesperiidae","Copaeodes aurantiaca",5,NA,NA,NA,1,NA
"Hesperiidae","Erynnis funeralis",37,1,NA,NA,NA,2
"Hesperiidae","Erynnis tristis",11,NA,NA,NA,NA,NA
"Hesperiidae","Heliopyrgus domicella",1,NA,NA,NA,NA,NA
"Hesperiidae","Hylephila phyleus",52,2,1,1,5,2
"Hesperiidae","Lerodea eufala",18,NA,NA,NA,NA,1
"Hesperiidae","Pholisora catullus",4,NA,NA,NA,NA,NA
"Hesperiidae","Pyrgus communis",14,NA,NA,NA,NA,NA
"Hesperiidae","Systasea zampa",23,1,NA,NA,1,NA
"Hesperiidae","Urbanus dorantes",2,NA,NA,NA,NA,NA
"Lycaenidae","Apodemia palmerii",19,NA,NA,NA,NA,NA
"Lycaenidae","Atlides halesus",25,NA,NA,NA,NA,NA
"Lycaenidae","Brephidium exilis",5,2,NA,NA,NA,7
"Lycaenidae","Calephelis arizonensis",2,NA,NA,NA,NA,NA
"Lycaenidae","Calephelis nemesis",107,1,NA,NA,2,NA
"Lycaenidae","Callicista columella",1,NA,NA,NA,NA,NA
"Lycaenidae","Celastrina ladon",30,NA,NA,NA,NA,NA
"Lycaenidae","Chlorostrymon simaethis",3,NA,NA,NA,NA,NA
"Lycaenidae","Echinargus isola",31,3,NA,NA,NA,1
"Lycaenidae","Hemiargus ceraunus",60,13,NA,NA,4,3
"Lycaenidae","Leptotes marina",300,7,1,4,8,7
"Lycaenidae","Ministrymon leda",16,2,NA,NA,1,NA
"Lycaenidae","Mitoura siva",NA,NA,NA,NA,1,NA
"Lycaenidae","Strymon melinus",74,10,2,1,5,2
"Nymphalidae","Agraulis vanillae",295,NA,NA,NA,NA,NA
"Nymphalidae","Anthanassa texana",263,4,1,NA,19,1
"Nymphalidae","Asterocampa celtis",2,NA,NA,NA,1,NA
"Nymphalidae","Asterocampa leilia",175,6,NA,NA,5,NA
"Nymphalidae","Chlosyne lacinia",12,NA,NA,NA,NA,NA
"Nymphalidae","Cynthia annabella",2,2,NA,1,1,1
"Nymphalidae","Danaus gilippus",376,152,1,24,27,42
"Nymphalidae","Danaus plexippus",261,23,3,15,20,1
"Nymphalidae","Dymasia dymas",40,NA,NA,NA,1,NA
"Nymphalidae","Eresia aveyrana",NA,NA,1,NA,NA,NA
"Nymphalidae","Euptoieta claudia",6,NA,2,NA,1,NA
"Nymphalidae","Heliconius charithonia",1,1,NA,NA,NA,NA
"Nymphalidae","Junonia coenia",5,NA,NA,NA,NA,NA
"Nymphalidae","Junonia genoveva",1,NA,NA,NA,NA,NA
"Nymphalidae","Libytheana carinenta",165,9,NA,NA,2,5
"Nymphalidae","Limenitis arthemis",NA,1,NA,NA,NA,NA
"Nymphalidae","Limenitis bredowii",1,NA,NA,NA,NA,NA
"Nymphalidae","Nymphalis antiopa",1,NA,3,NA,NA,NA
"Nymphalidae","Oeneis polixenes",1,NA,NA,NA,NA,NA
"Nymphalidae","Phyciodes tharos",NA,NA,2,NA,NA,NA
"Nymphalidae","Polygonia interrogationis",NA,NA,3,NA,NA,NA
"Nymphalidae","Texola elada",20,NA,NA,NA,NA,NA
"Nymphalidae","Thessalia leanira",1,NA,NA,NA,NA,NA
"Nymphalidae","Vanessa atalanta",5,2,1,NA,NA,NA
"Nymphalidae","Vanessa cardui",83,15,3,2,8,NA
"Nymphalidae","Vanessa virginiensis",4,NA,NA,NA,NA,NA
"Papilionidae","Battus philenor",310,11,NA,NA,1,5
"Papilionidae","Papilio astyalus",1,NA,NA,NA,NA,NA
"Papilionidae","Papilio multicaudata",1,NA,4,NA,NA,8
"Papilionidae","Papilio polibetes",2,NA,4,NA,1,1
"Papilionidae","Papilio rumiko",160,2,NA,NA,11,3
"Pieridae","Abaeis nicippe",238,11,1,NA,NA,7
"Pieridae","Anthocharis cethura",1,NA,NA,NA,NA,NA
"Pieridae","Anthocharis sara",1,NA,NA,NA,NA,NA
"Pieridae","Ascia monuste",1,1,NA,NA,NA,NA
"Pieridae","Colias eurytheme",18,1,1,NA,NA,NA
"Pieridae","Eurema boisduvaliana",6,NA,NA,NA,NA,NA
"Pieridae","Eurema mexicana",168,NA,NA,NA,NA,NA
"Pieridae","Kricogonia lyside",8,2,NA,NA,NA,NA
"Pieridae","Nathalis iole",206,6,NA,2,NA,1
"Pieridae","Phoebis agarithe",50,NA,NA,1,NA,NA
"Pieridae","Phoebis sennae",237,1,NA,NA,1,3
"Pieridae","Pieris rapae",1,NA,2,NA,3,NA
"Pieridae","Pontia protodice",74,3,4,NA,1,3
"Pieridae","Pyrisitia nise",NA,NA,NA,NA,1,NA
"Pieridae","Pyrisitia proterpia",22,NA,NA,NA,NA,NA
"Pieridae","Zerene cesonia",167,1,NA,NA,1,NA
